الاسم,الهاتف,العنوان,ملاحظات
سوبر ماركت الأمل — ياسر عبد الله,01012345601,شارع فيصل — الجيزة,عميل جملة كبير — سداد أسبوعي
بقالة الريحان — هشام حسنين,01112345602,المرج — القاهرة,عميل جملة
ماركت الأندلس — أشرف سالم,01212345603,شبرا الخيمة — القليوبية,عميل جملة — يطلب كميات كبيرة شهرياً
سوبر ماركت الحرمين — محمود فوزي,01512345604,المعادي — القاهرة,عميل تجزئة
بقالة أبو حسن — حسن الشناوي,01012345605,إمبابة — الجيزة,عميل جملة — حد ائتمان 15000
ماركت السعادة — سعيد إبراهيم,01112345606,حلوان — القاهرة,عميل جملة
سوبر ماركت الشمس — ممدوح عبد الفتاح,01212345607,مدينة نصر — القاهرة,عميل جملة كبير
بقالة العائلة — إيهاب فريد,01512345608,بولاق الدكرور — الجيزة,سداد نقدي فقط
ماركت الياسمين — عادل محمد,01012345609,المنيب — الجيزة,عميل جملة — أجل 15 يوم
سوبر ماركت الزهراء — وائل سمير,01112345610,عين شمس — القاهرة,عميل تجزئة كبير
بقالة الإيمان — رمضان أحمد,01212345611,المطرية — القاهرة,عميل جملة — أجل 30 يوم
ماركت الوفاء — شريف عادل,01512345612,6 أكتوبر — الجيزة,عميل جديد
سوبر ماركت النصر — هاني رشاد,01012345613,الزيتون — القاهرة,عميل جملة متوسط
بقالة عم فتحي — فتحي عبد الحميد,01112345614,الوراق — الجيزة,عميل قديم — منذ 2020
ماركت المستقبل — كريم منصور,01212345615,الهرم — الجيزة,عميل جملة — يطلب فاتورة ضريبية
كشك أبو علي — علي حسين,01512345616,الدقي — الجيزة,عميل تجزئة صغير
سوبر ماركت الأصيل — عمرو خالد,01012345617,مصر الجديدة — القاهرة,عميل جملة — دفع شهري
بقالة السلام — محمد سعد,01112345618,العجوزة — الجيزة,عميل جملة
ماركت الطيبين — أحمد عبد الرحمن,01212345619,شبين الكوم — المنوفية,عميل جملة — محافظة خارجية
سوبر ماركت الفردوس — خالد محمد,01512345620,بنها — القليوبية,عميل جملة — توصيل بحري
